cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","1227","Si cuenta con el servicio","13160","CANTAGALLO","Total",
"13","BOLIVAR","926","No cuenta con el servicio","13160","CANTAGALLO","Total",
"13","BOLIVAR","2031","Si cuenta con el servicio","13188","CICUCO","Cabecera municipal",
"13","BOLIVAR","90","No cuenta con el servicio","13188","CICUCO","Cabecera municipal",
"13","BOLIVAR","764","Si cuenta con el servicio","13188","CICUCO","Centros poblados",
"13","BOLIVAR","65","No cuenta con el servicio","13188","CICUCO","Centros poblados",
"13","BOLIVAR","60","Si cuenta con el servicio","13188","CICUCO","Rural disperso",
"13","BOLIVAR","79","No cuenta con el servicio","13188","CICUCO","Rural disperso",
"13","BOLIVAR","2855","Si cuenta con el servicio","13188","CICUCO","Total",
"13","BOLIVAR","234","No cuenta con el servicio","13188","CICUCO","Total",
"13","BOLIVAR","1025","Si cuenta con el servicio","13212","CORDOBA","Cabecera municipal",
"13","BOLIVAR","46","No cuenta con el servicio","13212","CORDOBA","Cabecera municipal",
"13","BOLIVAR","1902","Si cuenta con el servicio","13212","CORDOBA","Centros poblados",
"13","BOLIVAR","504","No cuenta con el servicio","13212","CORDOBA","Centros poblados",
"13","BOLIVAR","77","Si cuenta con el servicio","13212","CORDOBA","Rural disperso",
"13","BOLIVAR","254","No cuenta con el servicio","13212","CORDOBA","Rural disperso",
"13","BOLIVAR","3004","Si cuenta con el servicio","13212","CORDOBA","Total",
"13","BOLIVAR","804","No cuenta con el servicio","13212","CORDOBA","Total",
"13","BOLIVAR","434","Si cuenta con el servicio","13222","CLEMENCIA","Cabecera municipal",
"13","BOLIVAR","2352","No cuenta con el servicio","13222","CLEMENCIA","Cabecera municipal",
"13","BOLIVAR","10","Si cuenta con el servicio","13222","CLEMENCIA","Centros poblados",
"13","BOLIVAR","285","No cuenta con el servicio","13222","CLEMENCIA","Centros poblados",
"13","BOLIVAR","7","Si cuenta con el servicio","13222","CLEMENCIA","Rural disperso",
"13","BOLIVAR","320","No cuenta con el servicio","13222","CLEMENCIA","Rural disperso",
