cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","999","No cuenta con el servicio","13744","SIMITI","Rural disperso",
"13","BOLIVAR","2708","Si cuenta con el servicio","13744","SIMITI","Total",
"13","BOLIVAR","1485","No cuenta con el servicio","13744","SIMITI","Total",
"13","BOLIVAR","2042","Si cuenta con el servicio","13760","SOPLAVIENTO","Cabecera municipal",
"13","BOLIVAR","224","No cuenta con el servicio","13760","SOPLAVIENTO","Cabecera municipal",
"13","BOLIVAR","2","Si cuenta con el servicio","13760","SOPLAVIENTO","Rural disperso",
"13","BOLIVAR","35","No cuenta con el servicio","13760","SOPLAVIENTO","Rural disperso",
"13","BOLIVAR","2044","Si cuenta con el servicio","13760","SOPLAVIENTO","Total",
"13","BOLIVAR","259","No cuenta con el servicio","13760","SOPLAVIENTO","Total",
"13","BOLIVAR","1397","Si cuenta con el servicio","13780","TALAIGUA NUEVO","Cabecera municipal",
"13","BOLIVAR","43","No cuenta con el servicio","13780","TALAIGUA NUEVO","Cabecera municipal",
"13","BOLIVAR","1182","Si cuenta con el servicio","13780","TALAIGUA NUEVO","Centros poblados",
"13","BOLIVAR","104","No cuenta con el servicio","13780","TALAIGUA NUEVO","Centros poblados",
"13","BOLIVAR","55","Si cuenta con el servicio","13780","TALAIGUA NUEVO","Rural disperso",
"13","BOLIVAR","249","No cuenta con el servicio","13780","TALAIGUA NUEVO","Rural disperso",
"13","BOLIVAR","2634","Si cuenta con el servicio","13780","TALAIGUA NUEVO","Total",
"13","BOLIVAR","396","No cuenta con el servicio","13780","TALAIGUA NUEVO","Total",
"13","BOLIVAR","486","Si cuenta con el servicio","13810","TIQUISIO","Cabecera municipal",
"13","BOLIVAR","911","No cuenta con el servicio","13810","TIQUISIO","Cabecera municipal",
"13","BOLIVAR","795","Si cuenta con el servicio","13810","TIQUISIO","Centros poblados",
"13","BOLIVAR","301","No cuenta con el servicio","13810","TIQUISIO","Centros poblados",
"13","BOLIVAR","305","Si cuenta con el servicio","13810","TIQUISIO","Rural disperso",
"13","BOLIVAR","1421","No cuenta con el servicio","13810","TIQUISIO","Rural disperso",
"13","BOLIVAR","1586","Si cuenta con el servicio","13810","TIQUISIO","Total",
"13","BOLIVAR","2633","No cuenta con el servicio","13810","TIQUISIO","Total",
"13","BOLIVAR","19528","Si cuenta con el servicio","13836","TURBACO","Cabecera municipal",
"13","BOLIVAR","4579","No cuenta con el servicio","13836","TURBACO","Cabecera municipal",
"13","BOLIVAR","47","Si cuenta con el servicio","13836","TURBACO","Centros poblados",
"13","BOLIVAR","827","No cuenta con el servicio","13836","TURBACO","Centros poblados",
"13","BOLIVAR","137","Si cuenta con el servicio","13836","TURBACO","Rural disperso",
"13","BOLIVAR","792","No cuenta con el servicio","13836","TURBACO","Rural disperso",
"13","BOLIVAR","19712","Si cuenta con el servicio","13836","TURBACO","Total",
"13","BOLIVAR","6198","No cuenta con el servicio","13836","TURBACO","Total",
"13","BOLIVAR","1625","Si cuenta con el servicio","13838","TURBANA","Cabecera municipal",
"13","BOLIVAR","1336","No cuenta con el servicio","13838","TURBANA","Cabecera municipal",
"13","BOLIVAR","476","Si cuenta con el servicio","13838","TURBANA","Centros poblados",
"13","BOLIVAR","95","No cuenta con el servicio","13838","TURBANA","Centros poblados",
"13","BOLIVAR","182","Si cuenta con el servicio","13838","TURBANA","Rural disperso",
"13","BOLIVAR","225","No cuenta con el servicio","13838","TURBANA","Rural disperso",
"13","BOLIVAR","2283","Si cuenta con el servicio","13838","TURBANA","Total",
"13","BOLIVAR","1656","No cuenta con el servicio","13838","TURBANA","Total",
"13","BOLIVAR","2633","Si cuenta con el servicio","13873","VILLANUEVA","Cabecera municipal",
"13","BOLIVAR","1755","No cuenta con el servicio","13873","VILLANUEVA","Cabecera municipal",
"13","BOLIVAR","1","Si cuenta con el servicio","13873","VILLANUEVA","Centros poblados",
"13","BOLIVAR","369","No cuenta con el servicio","13873","VILLANUEVA","Centros poblados",
"13","BOLIVAR","72","Si cuenta con el servicio","13873","VILLANUEVA","Rural disperso",
"13","BOLIVAR","193","No cuenta con el servicio","13873","VILLANUEVA","Rural disperso",
"13","BOLIVAR","2706","Si cuenta con el servicio","13873","VILLANUEVA","Total",
"13","BOLIVAR","2317","No cuenta con el servicio","13873","VILLANUEVA","Total",
"13","BOLIVAR","2404","Si cuenta con el servicio","13894","ZAMBRANO","Cabecera municipal",
"13","BOLIVAR","136","No cuenta con el servicio","13894","ZAMBRANO","Cabecera municipal",
"13","BOLIVAR","47","No cuenta con el servicio","13894","ZAMBRANO","Centros poblados",
"13","BOLIVAR","5","Si cuenta con el servicio","13894","ZAMBRANO","Rural disperso",
"13","BOLIVAR","366","No cuenta con el servicio","13894","ZAMBRANO","Rural disperso",
"13","BOLIVAR","2409","Si cuenta con el servicio","13894","ZAMBRANO","Total",
"13","BOLIVAR","549","No cuenta con el servicio","13894","ZAMBRANO","Total",
